Date,Price,Year,Month,Day,DayOfWeek,MA7,MA14,MA30,Lag1,Lag2,Lag3
2010-01-19,127.88,2010,1,19,1,140.70285714285714,140.53285714285715,131.69566666666665,127.59,128.36,130.29
2010-01-20,126.45,2010,1,20,2,134.48999999999998,140.80285714285714,131.827,127.88,127.59,128.36
2010-01-21,126.07,2010,1,21,3,128.14142857142858,141.02285714285716,131.988,126.45,127.88,127.59
2010-01-22,126.76,2010,1,22,4,127.62857142857145,140.75857142857143,132.13233333333335,126.07,126.45,127.88
2010-01-25,127.08,2010,1,25,0,127.16999999999999,140.5585714285714,132.28933333333333,126.76,126.07,126.45
2010-01-26,126.13,2010,1,26,1,126.85142857142856,138.48,132.65133333333333,127.08,126.76,126.07
2010-01-27,124.02,2010,1,27,2,126.34142857142855,135.90928571428572,132.553,126.13,127.08,126.76
2010-01-28,122.88,2010,1,28,3,125.62714285714287,133.165,132.395,124.02,126.13,127.08
2010-01-29,122.21,2010,1,29,4,125.02142857142857,129.75571428571428,132.19066666666666,122.88,124.02,126.13
2010-02-02,124.39,2010,2,2,1,124.78142857142856,126.46142857142856,132.07833333333332,122.21,122.88,124.02
2010-02-03,123.39,2010,2,3,2,124.29999999999998,125.96428571428571,131.96200000000002,124.39,122.21,122.88
2010-02-06,130.27,2010,2,6,5,124.75571428571428,125.96285714285715,132.05366666666666,123.39,124.39,122.21
2010-02-07,153.86,2010,2,7,6,128.71714285714285,127.78428571428572,133.016,130.27,123.39,124.39
2010-02-08,159.2,2010,2,8,0,133.74285714285716,130.04214285714286,134.172,153.86,130.27,123.39
2010-02-09,161.48,2010,2,9,1,139.25714285714284,132.44214285714287,135.48633333333333,159.2,153.86,130.27
2010-02-11,170.63,2010,2,11,3,146.17428571428573,135.59785714285715,137.11933333333334,161.48,159.2,153.86
2010-02-12,172.24,2010,2,12,4,153.01,138.8957142857143,138.81733333333335,170.63,161.48,159.2
2010-02-15,124.15,2010,2,15,0,153.1185714285714,138.7092857142857,138.86666666666667,172.24,170.63,161.48
2010-02-16,124.62,2010,2,16,1,152.3114285714286,138.53357142857143,138.921,124.15,172.24,170.63
2010-02-17,124.46,2010,2,17,2,148.11142857142858,138.41428571428574,138.721,124.62,124.15,172.24
2010-02-18,125.55,2010,2,18,3,143.30428571428573,138.52357142857144,138.57666666666668,124.46,124.62,124.15
2010-02-19,125.76,2010,2,19,4,138.20142857142858,138.7292857142857,137.59433333333334,125.55,124.46,124.62
2010-02-22,123.26,2010,2,22,0,131.43428571428572,138.80428571428573,136.36933333333334,125.76,125.55,124.46
2010-02-23,122.91,2010,2,23,1,124.38714285714286,138.69857142857146,135.08966666666666,123.26,125.76,125.55
2010-02-24,123.21,2010,2,24,2,124.25285714285714,138.68571428571428,133.532,122.91,123.26,125.76
2010-02-25,121.34,2010,2,25,3,123.78428571428572,138.04785714285714,131.893,123.21,122.91,123.26
2010-02-26,122.78,2010,2,26,4,123.5442857142857,135.82785714285714,131.64066666666665,121.34,123.21,122.91
2010-03-02,123.66,2010,3,2,1,123.27428571428571,133.2892857142857,131.41966666666664,122.78,121.34,123.21
2010-03-03,123.29,2010,3,3,2,122.92142857142858,130.5614285714286,131.25066666666666,123.66,122.78,121.34
2010-03-05,129.48,2010,3,5,4,123.81000000000002,127.62214285714286,131.31366666666665,123.29,123.66,122.78
2010-03-06,130.12,2010,3,6,5,124.83999999999999,124.61357142857142,131.38833333333335,129.48,123.29,123.66
2010-03-08,155.24,2010,3,8,0,129.4157142857143,126.83428571428571,132.348,130.12,129.48,123.29
2010-03-09,163.7,2010,3,9,1,135.46714285714285,129.62571428571428,133.60233333333335,155.24,130.12,129.48
2010-03-11,170.14,2010,3,11,3,142.23285714285714,132.88857142857142,135.04833333333332,163.7,155.24,130.12
2010-03-12,172.98,2010,3,12,4,149.27857142857144,136.27642857142857,136.57833333333332,170.14,163.7,155.24
2010-03-15,122.41,2010,3,15,0,149.15285714285713,136.03714285714287,136.45433333333332,172.98,170.14,163.7
